Rank,Brand,Memory,Storage,Rating,Selling Price,Original Price
1,OPPO,4 GB,64 GB,4.5,11990,15990
2,OPPO,4 GB,64 GB,4.5,11990,15990
3,OPPO,6 GB,128 GB,4.3,13990,17990
4,OPPO,6 GB,128 GB,4.3,13990,17990
5,OPPO,4 GB,64 GB,4.5,11990,15990
6,OPPO,6 GB,128 GB,4.3,13990,17990
7,OPPO,4 GB,64 GB,4.4,10490,11990
8,OPPO,3 GB,32 GB,4.4,9490,10990
9,OPPO,3 GB,32 GB,4.4,9490,10990
10,OPPO,3 GB,32 GB,4.4,9490,10990
11,OPPO,3 GB,32 GB,4.4,9490,10990
12,OPPO,4 GB,64 GB,4.4,10490,11990
13,OPPO,6 GB,128 GB,4.3,15990,16990
14,OPPO,6 GB,128 GB,4.3,15990,16990
15,OPPO,4 GB,64 GB,4.4,10490,11990
16,OPPO,8 GB,128 GB,4.3,17990,18990
17,OPPO,8 GB,128 GB,4.3,17990,18990
18,OPPO,3 GB,32 GB,4.3,10490,12990
19,OPPO,4 GB,64 GB,4.3,11960,12990
20,OPPO,4 GB,64 GB,4.3,11779,11919
21,OPPO,6 GB,128 GB,4.3,18979,18979
22,OPPO,2 GB,32 GB,4.2,8990,10990
23,OPPO,8 GB,128 GB,4.3,19990,25990
24,OPPO,4 GB,128 GB,4.3,15990,15990
25,OPPO,4 GB,64 GB,4.3,14990,14990
26,OPPO,8 GB,128 GB,4.3,29990,35990
27,OPPO,8 GB,128 GB,4.3,29990,35990
28,OPPO,8 GB,128 GB,4.3,19990,25990
29,OPPO,4 GB,64 GB,4.3,14990,14990
30,OPPO,4 GB,128 GB,4.3,15990,15990
31,OPPO,6 GB,128 GB,4.3,16990,17990
32,OPPO,6 GB,128 GB,4.3,16990,17990
33,OPPO,4 GB,64 GB,4.3,14990,14990
34,OPPO,8 GB,128 GB,4.3,19990,25990
35,OPPO,4 GB,64 GB,4.3,12199,12319
36,OPPO,8 GB,128 GB,4.3,21990,21990
37,OPPO,6 GB,128 GB,4.3,15999,15999
38,OPPO,4 GB,64 GB,,13850,13850
39,OPPO,2 GB,32 GB,4.2,8990,10990
40,OPPO,4 GB,128 GB,4.3,15990,15990
41,OPPO,8 GB,128 GB,4.4,35990,38990
42,OPPO,4 GB,64 GB,,13990,15990
43,OPPO,3 GB,32 GB,4.3,10990,12990
44,OPPO,6 GB,128 GB,4.2,16990,20990
45,OPPO,3 GB,32 GB,4.3,10990,12990
46,OPPO,4 GB,64 GB,4.5,13499,13499
47,OPPO,6 GB,128 GB,4.3,15999,15999
48,OPPO,6 GB,128 GB,4.3,18380,18380
49,OPPO,12 GB,256 GB,4.4,39990,46990
50,OPPO,6 GB,128 GB,4.3,16990,17990
51,OPPO,6 GB,256 GB,4.4,19990,19990
52,OPPO,6 GB,256 GB,4.4,19990,19990
53,OPPO,8 GB,256 GB,4.4,26798,28989
54,OPPO,6 GB,128 GB,4.2,16990,20990
55,OPPO,4 GB,64 GB,4.3,12990,13990
56,OPPO,4 GB,64 GB,4.3,12990,13990
57,OPPO,8 GB,256 GB,4.4,27990,35990
58,OPPO,8 GB,128 GB,4.3,21990,23990
59,OPPO,8 GB,256 GB,4.3,23490,25990
60,OPPO,8 GB,128 GB,4.3,25990,29990
61,OPPO,8 GB,128 GB,4.3,25990,29990
62,OPPO,4 GB,64 GB,4.3,12889,12989
63,OPPO,8 GB,128 GB,4.3,21990,23990
64,OPPO,8 GB,256 GB,4.3,23490,25990
65,OPPO,8 GB,256 GB,4.3,23490,25990
66,OPPO,8 GB,128 GB,4.3,21990,23990
67,OPPO,4 GB,64 GB,4.5,13499,13499
68,OPPO,6 GB,128 GB,4.2,19990,20990
69,OPPO,2 GB,32 GB,4,9989,9989
70,OPPO,8 GB,128 GB,4.4,24989,24989
71,OPPO,4 GB,64 GB,4.4,10990,18990
72,OPPO,3 GB,32 GB,4.3,11249,11249
73,OPPO,8 GB,128 GB,4.4,35990,38990
74,OPPO,6 GB,64 GB,4.4,24990,24990
75,OPPO,2 GB,32 GB,4.3,8990,12990
76,OPPO,8 GB,128 GB,4.4,29999,29999
77,OPPO,8 GB,256 GB,4.5,29489,29489
78,OPPO,12 GB,256 GB,4.4,39990,46990
79,OPPO,4 GB,128 GB,4.4,15990,20990
80,OPPO,6 GB,128 GB,4.2,19990,20990
81,OPPO,6 GB,64 GB,4.3,13990,20990
82,OPPO,6 GB,128 GB,4.2,20999,20999
83,OPPO,4 GB,128 GB,4.4,15990,20990
84,OPPO,8 GB,128 GB,4.4,24719,25489
85,OPPO,8 GB,128 GB,4.4,24768,24990
86,OPPO,4 GB,128 GB,4.3,14990,18990
87,OPPO,8 GB,256 GB,4.6,60990,60990
88,OPPO,8 GB,128 GB,4.4,34990,37990
89,OPPO,6 GB,128 GB,4.4,17990,23990
90,OPPO,4 GB,64 GB,4.4,15990,15990
91,OPPO,8 GB,128 GB,4.4,34990,37990
92,OPPO,8 GB,128 GB,4.4,34990,37990
93,OPPO,6 GB,128 GB,4.2,19990,20990
94,OPPO,4 GB,64 GB,4.4,10990,10990
95,OPPO,4 GB,128 GB,4.3,14990,18990
96,OPPO,8 GB,128 GB,4.4,21990,28990
97,OPPO,3 GB,64 GB,4.4,12990,14990
98,OPPO,4 GB,64 GB,4.3,17000,17000
99,OPPO,4 GB,64 GB,4,27500,27500
100,OPPO,4 GB,64 GB,4.4,15000,15000
101,OPPO,4 GB,64 GB,4.3,15000,15000
102,OPPO,4 GB,64 GB,4.3,18000,18000
103,OPPO,4 GB,128 GB,4.4,15990,20990
104,OPPO,4 GB,64 GB,4.3,15000,15000
105,OPPO,2 GB,16 GB,4.2,11000,11000
106,OPPO,6 GB,64 GB,4.3,23990,24667
107,OPPO,4 GB,64 GB,4.5,19000,19000
108,OPPO,8 GB,256 GB,4.5,29489,32990
109,OPPO,3 GB,32 GB,4.4,9490,12990
110,OPPO,4 GB,64 GB,4.3,13990,13990
111,OPPO,4 GB,32 GB,4.4,15500,15500
112,OPPO,6 GB,128 GB,4.3,17999,17999
113,OPPO,6 GB,128 GB,4.3,17999,17999
114,OPPO,3 GB,16 GB,4.4,9940,9940
115,OPPO,2 GB,32 GB,4.3,12990,12990
116,OPPO,1 GB,16 GB,3.8,10000,10000
117,OPPO,4 GB,64 GB,4.4,15726,15726
118,OPPO,4 GB,64 GB,4.3,18000,18000
119,OPPO,3 GB,16 GB,4.2,12500,12500
120,OPPO,3 GB,16 GB,4.2,12500,12500
121,OPPO,8 GB,128 GB,4.4,18990,22990
122,OPPO,8 GB,128 GB,4.4,18990,22990
123,OPPO,3 GB,32 GB,4.2,18000,18000
124,OPPO,6 GB,128 GB,4.3,13799,13799
125,OPPO,6 GB,128 GB,4.3,13899,13899
126,OPPO,8 GB,128 GB,4.3,15990,21990
127,OPPO,4 GB,128 GB,4.3,14990,18990
128,OPPO,8 GB,128 GB,4.4,25889,25889
129,OPPO,4 GB,64 GB,,13490,13490
130,OPPO,2 GB,32 GB,4.3,12990,4990
131,OPPO,2 GB,32 GB,4.3,8490,13400
132,OPPO,4 GB,64 GB,4.4,15677,15677
